Player Name,2022-2023,2022-2023(*)
Marvin Bagley,"12,500,000.00","12,500,000.00"
Robert Covington,"12,307,692.00","12,307,692.00"
Josh Richardson,"12,196,094.00","12,196,094.00"
Ja Morant,"12,119,440.00","12,119,440.00"
Danny Green,"11,710,528.00","11,710,528.00"
Devonte Graham,"11,550,000.00","11,550,000.00"
Terrence Ross,"11,500,000.00","11,500,000.00"
Reggie Jackson,"11,457,217.00","11,457,217.00"
Dillon Brooks,"11,400,000.00","11,400,000.00"
Richaun Holmes,"11,215,260.00","11,215,260.00"
Dwight Powell,"11,080,125.00","11,080,125.00"
Paolo Banchero,"11,055,120.00","11,055,120.00"
RJ Barrett,"10,900,634.00","10,900,634.00"
Bobby Portis,"10,843,350.00","10,843,350.00"
DeAndre Jordan,"10,733,758.00","10,733,758.00"
Anthony Edwards,"10,733,400.00","10,733,400.00"
Robert Williams,"10,714,287.00","10,714,287.00"
Cade Cunningham,"10,552,800.00","10,552,800.00"
PJ Tucker,"10,490,000.00","10,490,000.00"
Derrick Favors,"10,350,803.00","10,350,803.00"
Mo Bamba,"10,300,000.00","10,300,000.00"
Talen Horton-Tucker,"10,260,000.00","10,260,000.00"
Jae Crowder,"10,183,800.00","10,183,800.00"
Ivica Zubac,"10,123,457.00","10,123,457.00"
Alec Burks,"10,012,800.00","10,012,800.00"
Reggie Bullock,"10,012,800.00","10,012,800.00"
Chet Holmgren,"9,891,240.00","9,891,240.00"
De'Andre Hunter,"9,835,881.00","9,835,881.00"
Larry Nance Jr,"9,672,727.00","9,672,727.00"
James Wiseman,"9,603,360.00","9,603,360.00"
Landry Shamet,"9,500,000.00","9,500,000.00"
Malik Monk,"9,472,219.00","9,472,219.00"
Jalen Green,"9,441,840.00","9,441,840.00"
Jakob Poeltl,"9,398,148.00","9,398,148.00"
Nerlens Noel,"9,391,069.00","9,391,069.00"
Nicolas Claxton,"9,350,000.00","9,350,000.00"
Dario Saric,"9,240,000.00","9,240,000.00"
Royce O'Neale,"9,200,000.00","9,200,000.00"
Monte Morris,"9,125,000.00","9,125,000.00"
Mason Plumlee,"9,080,417.00","9,080,417.00"
Alex Caruso,"9,030,000.00","9,030,000.00"
Maxi Kleber,"9,000,000.00","9,000,000.00"
Grayson Allen,"8,925,000.00","8,925,000.00"
Darius Garland,"8,920,794.00","8,920,794.00"
Jabari Smith,"8,882,640.00","8,882,640.00"
Isaiah Hartenstein,"8,854,879.00","8,854,879.00"
Kyle Anderson,"8,780,488.00","8,780,488.00"
Victor Oladipo,"8,750,000.00","8,750,000.00"
Daniel Theis,"8,694,369.00","8,694,369.00"
LaMelo Ball,"8,623,920.00","8,623,920.00"
Seth Curry,"8,496,653.00","8,496,653.00"
Evan Mobley,"8,478,720.00","8,478,720.00"
Gary Payton II,"8,300,000.00","8,300,000.00"
Dewayne Dedmon,"8,283,688.00","8,283,688.00"
De'Anthony Melton,"8,250,000.00","8,250,000.00"
JaMychal Green,"8,200,000.00","8,200,000.00"
TJ McConnell,"8,100,000.00","8,100,000.00"
Keegan Murray,"8,008,440.00","8,008,440.00"
Thaddeus Young,"8,000,000.00","8,000,000.00"
Kevon Looney,"8,000,000.00","8,000,000.00"
Delon Wright,"7,804,878.00","7,804,878.00"
Patrick Williams,"7,775,400.00","7,775,400.00"
Scottie Barnes,"7,644,600.00","7,644,600.00"
Cedi Osman,"7,426,088.00","7,426,088.00"
Coby White,"7,413,955.00","7,413,955.00"
Zach Collins,"7,350,000.00","7,350,000.00"
Jaden Ivey,"7,252,200.00","7,252,200.00"
Taurean Prince,"7,100,000.00","7,100,000.00"
Jae'Sean Tate,"7,065,217.00","7,065,217.00"
Isaac Okoro,"7,040,880.00","7,040,880.00"
Cody Martin,"7,000,000.00","7,000,000.00"
Jalen Suggs,"6,922,320.00","6,922,320.00"
Jaxson Hayes,"6,803,012.00","6,803,012.00"
Khem Birch,"6,667,500.00","6,667,500.00"
Bennedict Mathurin,"6,586,800.00","6,586,800.00"
Joe Ingles,"6,479,000.00","6,479,000.00"
Caleb Martin,"6,479,000.00","6,479,000.00"
Lonnie Walker,"6,479,000.00","6,479,000.00"
Bruce Brown,"6,479,000.00","6,479,000.00"
Patrick Mills,"6,479,000.00","6,479,000.00"
Onyeka Okongwu,"6,395,160.00","6,395,160.00"
Josh Giddey,"6,287,400.00","6,287,400.00"
Rui Hachimura,"6,263,188.00","6,263,188.00"
Rudy Gay,"6,184,500.00","6,184,500.00"
Jevon Carter,"6,025,000.00","6,025,000.00"
Shaedon Sharpe,"6,012,960.00","6,012,960.00"
Otto Porter,"6,000,000.00","6,000,000.00"
Cameron Payne,"6,000,000.00","6,000,000.00"
Justin Holiday,"5,987,975.00","5,987,975.00"
Cam Reddish,"5,954,454.00","5,954,454.00"
Cameron Johnson,"5,887,899.00","5,887,899.00"
Ricky Rubio,"5,853,659.00","5,853,659.00"
Killian Hayes,"5,837,760.00","5,837,760.00"
PJ Washington,"5,808,435.00","5,808,435.00"
Jonathan Kuminga,"5,739,840.00","5,739,840.00"
Pat Connaughton,"5,728,393.00","5,728,393.00"
Tyler Herro,"5,722,116.00","5,722,116.00"
