Marcus Smart,"$18,583,713","$19,960,285","$21,336,856",$0
Gary Trent Jr,"$18,560,000",$0,$0,$0
Nikola Vucevic,"$18,518,519","$20,000,000","$21,481,481",$0
Derrick White,"$18,357,143","$19,571,429",$0,$0
Dejounte Murray,"$18,214,000","$25,499,599","$27,539,568","$29,523,536"
Duncan Robinson,"$18,154,000","$19,406,000","$19,888,000",$0
Norman Powell,"$18,000,000","$19,241,379","$20,482,758",$0
Tim Hardaway Jr,"$17,897,728","$16,193,183",$0,$0
Jonathan Isaac,"$17,400,000","$17,400,000",$0,$0
Collin Sexton,"$17,325,000","$18,150,000","$18,975,000",$0
D'Angelo Russell,"$17,307,693","$18,692,307",$0,$0
Lauri Markkanen,"$17,259,999","$18,044,544",$0,$0
Marcus Morris,"$17,116,279",$0,$0,$0
Harrison Barnes,"$17,000,000","$18,000,000","$19,000,000",$0
Davis Bertans,"$17,000,000","$16,000,000",$0,$0
Markelle Fultz,"$17,000,000",$0,$0,$0
Jusuf Nurkic,"$16,875,000","$18,125,000","$19,375,000",$0
Kevin Porter,"$15,860,000","$15,860,000","$15,860,000","$15,860,000"
Rui Hachimura,"$15,740,741","$17,000,000","$18,259,259",$0
Mitchell Robinson,"$15,681,818","$14,318,182","$12,954,546",$0
Kevin Huerter,"$15,669,643","$16,830,357","$17,991,071",$0
Jonas Valanciunas,"$15,435,000",$0,$0,$0
Caris LeVert,"$15,384,616","$16,615,384",$0,$0
Luguentz Dort,"$15,277,778","$16,500,000","$17,722,222","$17,722,222"
Luke Kennard,"$14,763,636","$14,763,636",$0,$0
Kentavious Caldwell-Pope,"$14,704,938","$15,440,185",$0,$0
Max Strus,"$14,487,684","$15,212,068","$15,936,452","$16,660,836"
Tyus Jones,"$14,000,000",$0,$0,$0
Dorian Finney-Smith,"$13,932,008","$14,924,167","$15,378,480",$0
Doug McDermott,"$13,750,000",$0,$0,$0
Anthony Edwards,"$13,534,817",,,
Wendell Carter,"$13,050,000","$11,950,000","$10,850,000",$0
Gary Harris,"$13,000,000",$0,$0,$0
Josh Hart,"$12,960,000",,,
Naz Reid,"$12,950,400","$13,986,432","$15,022,464",$0
Steven Adams,"$12,600,000","$12,600,000",$0,$0
Marvin Bagley,"$12,500,000","$12,500,000",$0,$0
Brandon Clarke,"$12,500,000","$12,500,000","$12,500,000","$12,500,000"
Grant Williams,"$12,405,000","$13,025,250","$13,645,500","$14,265,750"
Dennis Schroeder,"$12,405,000","$13,025,250",$0,$0
Daniel Gafford,"$12,402,000","$13,394,160","$14,386,320",$0
Kelly Olynyk,"$12,195,122",$0,$0,$0
Victor Wembanyama,"$12,160,632","$12,768,664","$13,376,695","$16,868,013"
James Wiseman,"$12,119,440","$15,815,870",$0,$0
Devonte Graham,"$12,100,000","$12,650,000",$0,$0
Richaun Holmes,"$12,046,020","$12,876,780",$0,$0
Austin Reaves,"$12,015,150","$12,976,362","$13,937,574","$14,898,786"
Herb Jones,"$12,015,150","$12,976,362","$13,937,574","$14,898,786"
Chris Boucher,"$11,750,000","$10,810,000",$0,$0
Bobby Portis,"$11,710,818","$12,578,286","$13,445,754",$0
Nicolas Batum,"$11,710,818",$0,$0,$0
Robert Covington,"$11,692,308",$0,$0,$0
Paolo Banchero,"$11,608,080","$12,160,800","$15,334,769","$19,935,199"
Robert Williams,"$11,571,429","$12,428,571","$13,285,713",$0
Coby White,"$11,111,111","$12,000,000","$12,888,889",$0
Cade Cunningham,"$11,055,360","$13,940,809","$18,123,052",$0
Talen Horton-Tucker,"$11,020,000",$0,$0,$0
PJ Tucker,"$11,014,500","$11,539,000",$0,$0
Maxi Kleber,"$11,000,000","$11,000,000","$11,000,000",$0
Joe Ingles,"$11,000,000","$11,000,000",$0,$0
Ivica Zubac,"$10,933,333","$11,743,210",$0,$0
LaMelo Ball,"$10,900,635","$37,250,000","$40,230,000","$43,210,000"
Donte DiVincenzo,"$10,900,000","$11,445,000","$11,990,000","$12,535,000"
Brandon Miller,"$10,880,364","$11,424,382","$11,968,400","$15,104,121"
Terance Mann,"$10,576,923","$11,423,077",$0,$0
Matisse Thybulle,"$10,500,000","$11,025,000","$11,550,000",$0
Gabe Vincent,"$10,500,000","$11,000,000","$11,500,000",$0
Alec Burks,"$10,489,600",$0,$0,$0
Reggie Bullock,"$10,489,600",$0,$0,$0
Chet Holmgren,"$10,386,000","$10,880,640","$13,731,368","$17,919,435"
Larry Nance Jr,"$10,375,000","$11,205,000",$0,$0
Landry Shamet,"$10,250,000","$11,000,000","$11,750,000",$0
Al Horford,"$10,000,000","$9,500,000",$0,$0
Malik Monk,"$9,945,830",$0,$0,$0
Tre Jones,"$9,895,833","$9,104,167",$0,$0
Jalen Green,"$9,891,480","$12,483,048","$16,290,377",$0
Patrick Williams,"$9,835,881","$12,973,527",$0,$0
Monte Morris,"$9,800,926",$0,$0,$0
Scoot Henderson,"$9,770,904","$10,259,449","$10,747,994","$13,585,465"
Nicolas Claxton,"$9,625,000",$0,$0,$0
Jeff Green,"$9,600,000","$9,600,000",$0,$0
Royce O'Neale,"$9,500,000",$0,$0,$0
Alex Caruso,"$9,460,000","$9,890,000",$0,$0
Victor Oladipo,"$9,450,000",$0,$0,$0
Pat Connaughton,"$9,423,869","$9,423,869","$9,423,869",$0
Jabari Smith,"$9,326,520","$9,770,880","$12,350,392","$16,203,715"
Isaiah Hartenstein,"$9,245,121",$0,$0,$0
Kyle Anderson,"$9,219,512",$0,$0,$0
Daniel Theis,"$9,108,386","$9,522,404",$0,$0
Grayson Allen,"$8,925,000",$0,$0,$0
Isaac Okoro,"$8,920,794","$11,828,974",$0,$0
Evan Mobley,"$8,882,640","$11,227,657","$14,730,686",$0
Amen Thompson,"$8,809,284","$9,249,748","$9,690,212","$12,258,119"
Georges Niang,"$8,800,000","$8,500,000","$8,200,000",$0
Gary Payton II,"$8,715,000","$9,130,000",$0,$0
TJ McConnell,"$8,700,000","$9,300,000",$0,$0
