Player Name,2020-2021,2020-2021(*)
Stephen Curry,"43,006,362.00","49,431,367.00"
Russell Westbrook,"41,358,814.00","47,537,680.00"
Chris Paul,"41,358,814.00","47,537,680.00"
John Wall,"41,254,920.00","47,418,265.00"
James Harden,"41,254,920.00","47,418,265.00"
Kevin Durant,"40,108,950.00","46,101,091.00"
LeBron James,"39,219,566.00","45,078,836.00"
Paul George,"35,450,412.00","40,746,583.00"
Klay Thompson,"35,361,360.00","40,644,227.00"
Mike Conley,"34,502,132.00","39,656,633.00"
Jimmy Butler,"34,379,100.00","39,515,221.00"
Kawhi Leonard,"34,379,100.00","39,515,221.00"
Kemba Walker,"34,379,100.00","39,515,221.00"
Tobias Harris,"34,358,850.00","39,491,945.00"
Blake Griffin,"33,900,241.00","38,964,821.00"
Kyrie Irving,"33,722,850.00","38,760,929.00"
Khris Middleton,"33,051,724.00","37,989,539.00"
Anthony Davis,"32,742,000.00","37,633,544.00"
Damian Lillard,"31,626,953.00","36,351,912.00"
Kevin Love,"31,258,256.00","35,928,133.00"
Pascal Siakam,"30,559,200.00","35,124,641.00"
Ben Simmons,"30,559,200.00","35,124,641.00"
Kyle Lowry,"30,500,000.00","35,056,596.00"
Steven Adams,"29,592,695.00","34,013,743.00"
Joel Embiid,"29,542,010.00","33,955,486.00"
Andrew Wiggins,"29,542,010.00","33,955,486.00"
Nikola Jokic,"29,542,010.00","33,955,486.00"
Devin Booker,"29,467,800.00","33,870,189.00"
Karl-Anthony Towns,"29,467,800.00","33,870,189.00"
Kristaps Porzingis,"29,467,800.00","33,870,189.00"
CJ McCollum,"29,354,152.00","33,739,563.00"
Bradley Beal,"28,751,774.00","33,047,191.00"
Andre Drummond,"28,751,774.00","33,047,190.00"
D'Angelo Russell,"28,649,250.00","32,929,351.00"
Gordon Hayward,"28,500,000.00","32,757,803.00"
Otto Porter,"28,489,239.00","32,745,434.00"
DeMar DeRozan,"27,739,975.00","31,884,233.00"
Giannis Antetokounmpo,"27,528,088.00","31,640,691.00"
Rudy Gobert,"27,525,281.00","31,637,464.00"
Al Horford,"27,500,000.00","31,608,407.00"
Brandon Ingram,"27,285,000.00","31,361,286.00"
