Player Name,2013-2014,2013-2014(*)
Kobe Bryant,"30,453,000.00","38,644,129.00"
Dirk Nowitzki,"22,721,381.00","28,832,889.00"
Gilbert Arenas,"22,346,536.00","28,357,220.00"
Amare Stoudemire,"21,679,893.00","27,511,266.00"
Carmelo Anthony,"21,490,000.00","27,270,296.00"
Joe Johnson,"21,466,718.00","27,240,752.00"
Dwight Howard,"20,513,178.00","26,030,733.00"
Pau Gasol,"19,285,850.00","24,473,283.00"
LeBron James,"19,067,500.00","24,196,202.00"
Chris Bosh,"19,067,500.00","24,196,202.00"
Kevin Durant,"18,773,176.00","23,822,712.00"
Chris Paul,"18,668,431.00","23,689,793.00"
Dwyane Wade,"18,536,000.00","23,521,741.00"
Deron Williams,"18,466,130.00","23,433,078.00"
Rudy Gay,"17,888,932.00","22,700,627.00"
Zach Randolph,"17,800,000.00","22,587,774.00"
Brandon Roy,"17,779,458.00","22,561,707.00"
Derrick Rose,"17,632,688.00","22,375,460.00"
Blake Griffin,"16,402,500.00","20,814,380.00"
Paul Pierce,"15,333,334.00","19,457,634.00"
Carlos Boozer,"15,300,000.00","19,415,334.00"
Marc Gasol,"14,860,523.00","18,857,648.00"
Brook Lopez,"14,694,000.00","18,646,335.00"
Russell Westbrook,"14,693,906.00","18,646,215.00"
Kevin Love,"14,693,906.00","18,646,215.00"
Emeka Okafor,"14,544,687.00","18,456,860.00"
Danny Granger,"14,379,240.00","18,246,912.00"
Luol Deng,"14,312,125.00","18,161,744.00"
Eric Gordon,"14,283,844.00","18,125,856.00"
Roy Hibbert,"14,283,844.00","18,125,856.00"
Andrew Bogut,"14,200,000.00","18,019,460.00"
Tyson Chandler,"14,100,538.00","17,893,246.00"
LaMarcus Aldridge,"14,100,000.00","17,892,563.00"
Josh Smith,"14,000,000.00","17,765,665.00"
David Lee,"13,878,000.00","17,610,850.00"
James Harden,"13,668,750.00","17,345,317.00"
Al Jefferson,"13,500,000.00","17,131,177.00"
Ben Gordon,"13,200,000.00","16,750,484.00"
Nenê,"13,000,000.00","16,496,689.00"
Andre Iguodala,"12,868,632.00","16,329,986.00"
Tony Parker,"12,500,000.00","15,862,201.00"
Serge Ibaka,"12,250,000.00","15,544,957.00"
Nikola Pekovic,"12,100,000.00","15,354,611.00"
David West,"12,000,000.00","15,227,713.00"
Kris Humphries,"12,000,000.00","15,227,713.00"
Rajon Rondo,"12,000,000.00","15,227,713.00"
Al Horford,"12,000,000.00","15,227,713.00"
Tyreke Evans,"11,796,247.00","14,969,155.00"
Joakim Noah,"11,600,000.00","14,720,122.00"
Kevin Garnett,"11,532,468.00","14,634,426.00"
Richard Jefferson,"11,046,000.00","14,017,110.00"
Andrea Bargnani,"11,000,000.00","13,958,737.00"
Jrue Holiday,"11,000,000.00","13,958,737.00"
DeAndre Jordan,"10,986,550.00","13,941,669.00"
Nicolas Batum,"10,920,250.00","13,857,536.00"
Ty Lawson,"10,786,517.00","13,687,832.00"
JaVale McGee,"10,750,000.00","13,641,493.00"
Tim Duncan,"10,361,446.00","13,148,427.00"
Danilo Gallinari,"10,146,925.00","12,876,205.00"
Gerald Wallace,"10,105,855.00","12,824,088.00"
Tiago Splitter,"10,000,000.00","12,689,761.00"
Stephen Curry,"9,887,642.00","12,547,181.00"
DeMar DeRozan,"9,500,000.00","12,055,273.00"
Paul Millsap,"9,500,000.00","12,055,273.00"
Metta World Peace,"9,317,280.00","11,823,405.00"
Shawn Marion,"9,316,796.00","11,822,791.00"
Steve Nash,"9,300,500.00","11,802,112.00"
Andray Blatche,"9,170,525.00","11,637,176.00"
Anderson Varejao,"9,100,000.00","11,547,682.00"
Andris Biedrins,"9,000,000.00","11,420,785.00"
Jeff Green,"8,700,000.00","11,040,092.00"
