PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_NAME
202699,2015-16,00,1610612753,ORL,23.0,49,49,1610.0,251,541,0.464,47,151,0.311,120,153,0.784,71,271,342,99,47,28,78,91,669,Tobias Harris
202699,2015-16,00,1610612765,DET,23.0,27,25,903.0,166,348,0.477,33,88,0.375,82,90,0.911,25,143,168,70,18,12,30,62,447,Tobias Harris
202699,2015-16,00,0,TOT,23.0,76,74,2513.0,417,889,0.469,80,239,0.335,202,243,0.831,96,414,510,169,65,40,108,153,1116,Tobias Harris
202699,2016-17,00,1610612765,DET,24.0,82,48,2566.0,511,1063,0.481,109,314,0.347,190,226,0.841,63,353,416,142,60,39,96,133,1321,Tobias Harris
202699,2017-18,00,1610612765,DET,25.0,48,48,1563.0,320,709,0.451,113,276,0.409,115,136,0.846,36,208,244,94,34,15,51,91,868,Tobias Harris
202699,2017-18,00,1610612746,LAC,25.0,32,32,1105.0,242,512,0.473,70,169,0.414,64,80,0.8,22,171,193,98,37,20,54,73,618,Tobias Harris
202699,2017-18,00,0,TOT,25.0,80,80,2668.0,562,1221,0.46,183,445,0.411,179,216,0.829,58,379,437,192,71,35,105,164,1486,Tobias Harris
202699,2018-19,00,1610612746,LAC,26.0,55,55,1904.0,424,855,0.496,112,258,0.434,192,219,0.877,37,395,432,150,40,24,109,123,1152,Tobias Harris
202699,2018-19,00,1610612755,PHI,26.0,27,27,944.0,187,399,0.469,44,135,0.326,74,88,0.841,32,181,213,79,11,13,42,61,492,Tobias Harris
202699,2018-19,00,0,TOT,26.0,82,82,2848.0,611,1254,0.487,156,393,0.397,266,307,0.866,69,576,645,229,51,37,151,184,1644,Tobias Harris
202699,2019-20,00,1610612755,PHI,27.0,72,72,2469.0,553,1173,0.471,131,357,0.367,174,216,0.806,69,426,495,227,53,40,104,165,1411,Tobias Harris
202699,2020-21,00,1610612755,PHI,28.0,62,62,2014.0,473,924,0.512,82,208,0.394,182,204,0.892,62,357,419,220,55,51,107,119,1210,Tobias Harris
202699,2021-22,00,1610612755,PHI,29.0,73,73,2543.0,493,1022,0.482,101,275,0.367,170,202,0.842,77,419,496,252,47,43,116,164,1257,Tobias Harris
202699,2022-23,00,1610612755,PHI,30.0,74,74,2436.0,423,845,0.501,126,324,0.389,113,129,0.876,67,357,424,186,68,40,89,149,1085,Tobias Harris
202691,2011-12,00,1610612744,GSW,22.0,66,29,1608.0,318,718,0.443,111,268,0.414,79,91,0.868,24,137,161,133,49,20,103,155,826,Klay Thompson
202691,2012-13,00,1610612744,GSW,23.0,82,82,2936.0,508,1205,0.422,211,526,0.401,132,157,0.841,32,274,306,183,86,45,157,237,1359,Klay Thompson
202691,2013-14,00,1610612744,GSW,24.0,81,81,2868.0,559,1259,0.444,223,535,0.417,147,185,0.795,38,211,249,181,74,37,135,234,1488,Klay Thompson
202691,2014-15,00,1610612744,GSW,25.0,77,77,2455.0,602,1299,0.463,239,545,0.439,225,256,0.879,27,220,247,222,87,60,149,122,1668,Klay Thompson
202691,2015-16,00,1610612744,GSW,26.0,80,80,2666.0,651,1386,0.47,276,650,0.425,193,221,0.873,35,271,306,166,60,49,138,152,1771,Klay Thompson
202691,2016-17,00,1610612744,GSW,27.0,78,78,2649.0,644,1376,0.468,268,647,0.414,186,218,0.853,49,236,285,160,66,40,128,139,1742,Klay Thompson
202691,2017-18,00,1610612744,GSW,28.0,73,73,2504.0,575,1177,0.489,229,520,0.44,82,98,0.837,31,246,277,185,55,34,128,117,1461,Klay Thompson
202691,2018-19,00,1610612744,GSW,29.0,78,78,2652.0,655,1402,0.467,241,599,0.402,129,158,0.816,37,262,299,186,84,47,115,157,1680,Klay Thompson
202691,2021-22,00,1610612744,GSW,32.0,32,32,941.0,246,573,0.429,114,296,0.385,46,51,0.902,15,110,125,88,16,17,43,54,652,Klay Thompson
202691,2022-23,00,1610612744,GSW,33.0,69,69,2279.0,546,1252,0.436,301,731,0.412,116,132,0.879,39,247,286,163,49,29,123,130,1509,Klay Thompson
203925,2014-15,00,1610612739,CLE,23.0,51,1,493.0,48,120,0.4,31,84,0.369,9,15,0.6,7,34,41,26,7,2,27,62,136,Joe Harris
203925,2015-16,00,1610612739,CLE,24.0,5,0,15.0,1,4,0.25,1,4,0.25,0,0,0.0,0,3,3,2,0,0,1,1,3,Joe Harris
203925,2016-17,00,1610612751,BKN,25.0,52,11,1138.0,154,362,0.425,85,221,0.385,35,49,0.714,16,131,147,54,30,8,55,121,428,Joe Harris
203925,2017-18,00,1610612751,BKN,26.0,78,14,1975.0,305,621,0.491,150,358,0.419,86,104,0.827,51,209,260,128,35,20,91,153,846,Joe Harris
