"SEASON_ID","Age","Tm","Lg","Pos","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS_48","OBPM","DBPM","BPM","VORP","PLAYER_ID","LEAGUE_ID","TEAM_ID","TEAM_ABBREVIATION","PLAYER_AGE","GP","GS","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS"
"2020-21","20","PHI","NBA","SG","61","935","14.5","0.531","0.24","0.163","1.3","10.8","6.1","19.9","1.3","1.2","8.2","23","0.8","1.1","1.9","0.099","-1","-0.5","-1.5","0.1","1630178","0","1610612755","PHI","20","61","8","936","198","429","0.462","31","103","0.301","61","70","0.871","11","93","104","120","26","13","41","79","488"
"2021-22","21","PHI","NBA","PG","75","2650","16.2","0.594","0.311","0.247","1.1","8.9","5.1","19.1","1","1.1","7.4","20.2","5.4","1.9","7.3","0.132","1.3","-0.7","0.6","1.8","1630178","0","1610612755","PHI","21","75","74","2650","483","995","0.485","132","309","0.427","213","246","0.866","26","214","240","321","55","32","88","156","1311"
"2022-23","22","PHI","NBA","SG","60","2016","17","0.605","0.404","0.233","1.4","8.8","5.2","16.9","1.2","0.4","7.4","24.1","3.7","1.6","5.4","0.128","1.9","-1.2","0.6","1.3","1630178","0","1610612755","PHI","22","60","41","2016","439","913","0.481","160","369","0.434","180","213","0.845","23","153","176","212","49","8","80","132","1218"
