Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2016-17,22,TOR,NBA,PF,55,859,11.5,0.523,0.034,0.156,8.4,15.9,12.2,2.9,1.5,4.5,13.1,13.1,0.4,1.2,1.6,0.089,-3.0,0.7,-2.4,-0.1
2017-18,23,TOR,NBA,PF,81,1679,14.5,0.549,0.265,0.175,5.4,18.6,12.1,13.5,1.8,2.0,11.1,15.7,2.1,2.5,4.7,0.133,-0.3,1.6,1.3,1.4
2018-19,24,TOR,NBA,PF,80,2548,18.7,0.628,0.226,0.32,5.4,17.5,11.6,14.6,1.4,1.7,12.5,20.8,5.7,3.6,9.3,0.175,1.6,0.8,2.4,2.8
2019-20,25,TOR,NBA,PF,60,2110,17.9,0.554,0.331,0.274,3.3,18.3,11.0,16.4,1.4,2.5,10.7,28.1,1.8,3.6,5.4,0.123,1.3,0.5,1.8,2.0
2020-21,26,TOR,NBA,PF,56,2006,17.7,0.547,0.256,0.313,5.0,17.6,11.1,20.5,1.5,1.8,10.6,26.3,2.3,2.0,4.2,0.101,1.0,-0.3,0.8,1.4
2021-22,27,TOR,NBA,PF,68,2578,20.3,0.565,0.181,0.314,5.1,20.1,12.2,23.0,1.6,1.6,11.6,25.8,4.9,3.2,8.1,0.151,2.7,0.8,3.5,3.6
2022-23,28,TOR,NBA,PF,71,2652,20.3,0.565,0.219,0.361,5.2,19.6,11.9,24.9,1.2,1.3,10.0,27.2,5.2,2.6,7.8,0.141,3.3,-0.1,3.1,3.4
