Player Name,2018-2019,2018-2019(*)
Duncan Robinson,"77,250.00","90,837.00"
Julian Washburn,"77,250.00","90,837.00"
Jarnell Stokes,"77,250.00","90,837.00"
DJ Stephens,"77,250.00","90,837.00"
Yuta Watanabe,"77,250.00","90,837.00"
Alex Caruso,"77,250.00","90,837.00"
Johnathan Motley,"77,250.00","90,837.00"
Angel Delgado,"77,250.00","90,837.00"
Trevon Duval,"77,250.00","90,837.00"
Vincent Edwards,"77,250.00","90,837.00"
Marcus Derrickson,"77,250.00","90,837.00"
Damion Lee,"77,250.00","90,837.00"
Zach Lofton,"77,250.00","90,837.00"
Keenan Evans,"77,250.00","90,837.00"
Archie Goodwin,"77,250.00","90,837.00"
DeVaughn Akoon-Purcell,"77,250.00","90,837.00"
Thomas Welsh,"77,250.00","90,837.00"
Daryl Macon,"77,250.00","90,837.00"
Kostas Antetokounmpo,"77,250.00","90,837.00"
Deng Adel,"77,250.00","90,837.00"
Jalen Jones,"77,250.00","90,837.00"
Jaron Blossomgame,"77,250.00","90,837.00"
Billy Preston,"77,250.00","90,837.00"
John Holland,"77,250.00","90,837.00"
Brandon Sampson,"77,250.00","90,837.00"
Tyler Ulis,"77,250.00","90,837.00"
Rawle Alkins,"77,250.00","90,837.00"
Joe Chealey,"77,250.00","90,837.00"
JP Macura,"77,250.00","90,837.00"
Alan Williams,"77,250.00","90,837.00"
Theo Pinson,"77,250.00","90,837.00"
RJ Hunter,"77,250.00","90,837.00"
PJ Dozier,"77,250.00","90,837.00"
Alex Poythress,"77,250.00","90,837.00"
Scotty Hopson,"76,236.00","89,645.00"
Charles Cooke,"76,236.00","89,645.00"
Scott Machado,"76,236.00","89,645.00"
Andre Ingram,"76,236.00","89,645.00"
Kobi Simmons,"76,236.00","89,645.00"
Jonathan Gibson,"76,236.00","89,645.00"
Wenyen Gabriel,"75,000.00","88,191.00"
Billy Garrett,"67,370.00","79,219.00"
Mitch Creek,"56,845.00","66,843.00"
Brandon Goodwin,"56,845.00","66,843.00"
Jemerrio Jones,"52,170.00","61,346.00"
Tarik Phillip,"47,370.00","55,701.00"
Cody Demps,"47,370.00","55,701.00"
Richard Solomon,"47,370.00","55,701.00"
Kendrick Nunn,"47,370.00","55,701.00"
Dusty Hannahs,"47,370.00","55,701.00"
Stephan Hicks,"47,370.00","55,701.00"
Michael Frazier,"47,370.00","55,701.00"
Tahjere McCall,"47,370.00","55,701.00"
Mitchell Creek,"47,370.00","55,701.00"
Isaac Humphries,"47,370.00","55,701.00"
Jordan Sibert,"47,370.00","55,701.00"
