Kevin Garnett,"$21,000,000 ","$30,667,969 "
Shaquille O'Neal,"$20,000,000 ","$29,207,589 "
Michael Finley,"$19,030,999 ","$27,792,480 "
Chris Webber,"$18,261,024 ","$26,668,024 "
Jermaine O'Neal,"$18,084,000 ","$26,409,502 "
Jason Kidd,"$18,084,000 ","$26,409,502 "
Kobe Bryant,"$17,718,750 ","$25,876,099 "
Tim Duncan,"$17,429,672 ","$25,453,935 "
Stephon Marbury,"$17,184,375 ","$25,095,708 "
Allen Iverson,"$17,184,375 ","$25,095,708 "
Grant Hill,"$16,901,500 ","$24,682,604 "
Tracy McGrady,"$16,901,500 ","$24,682,604 "
Brian Grant,"$16,786,950 ","$24,515,316 "
Jalen Rose,"$16,141,500 ","$23,572,715 "
Ben Wallace,"$16,000,000 ","$23,366,071 "
Eddie Jones,"$15,395,472 ","$22,483,231 "
Antawn Jamison,"$15,101,625 ","$22,054,103 "
Dirk Nowitzki,"$15,101,625 ","$22,054,103 "
Vince Carter,"$15,101,625 ","$22,054,103 "
Paul Pierce,"$15,101,625 ","$22,054,103 "
Shawn Marion,"$15,070,000 ","$22,007,919 "
Steve Francis,"$15,070,000 ","$22,007,919 "
Baron Davis,"$15,070,000 ","$22,007,919 "
Ray Allen,"$14,611,570 ","$21,338,437 "
Elton Brand,"$14,248,000 ","$20,807,487 "
Larry Hughes,"$13,363,012 ","$19,515,068 "
Michael Redd,"$13,260,000 ","$19,364,632 "
Joe Johnson,"$12,744,189 ","$18,611,352 "
Mike Bibby,"$12,500,000 ","$18,254,743 "
Amare Stoudemire,"$12,455,000 ","$18,189,026 "
Yao Ming,"$12,455,000 ","$18,189,026 "
Andrei Kirilenko,"$12,364,000 ","$18,056,132 "
Pau Gasol,"$12,364,000 ","$18,056,132 "
Lamar Odom,"$12,348,596 ","$18,033,636 "
Kenyon Martin,"$12,068,182 ","$17,624,125 "
Zach Randolph,"$12,000,000 ","$17,524,553 "
Wally Szczerbiak,"$11,775,000 ","$17,195,968 "
Theo Ratliff,"$11,666,666 ","$17,037,759 "
Rasheed Wallace,"$11,650,000 ","$17,013,421 "
Raef LaFrentz,"$11,532,037 ","$16,841,150 "
Carlos Boozer,"$11,260,483 ","$16,444,578 "
Richard Jefferson,"$11,200,000 ","$16,356,250 "
Gilbert Arenas,"$11,096,800 ","$16,205,539 "
Derek Anderson,"$11,043,897 ","$16,128,279 "
Predrag Stojakovic,"$10,800,000 ","$15,772,098 "
Steve Nash,"$10,500,000 ","$15,333,984 "
Jason Richardson,"$9,999,999 ","$14,603,793 "
Erick Dampier,"$9,628,000 ","$14,060,533 "
Brad Miller,"$9,625,000 ","$14,056,152 "
Samuel Dalembert,"$9,464,307 ","$13,821,479 "
Tony Parker,"$9,450,000 ","$13,800,586 "
Zydrunas Ilgauskas,"$9,442,697 ","$13,789,921 "
Rashard Lewis,"$9,350,649 ","$13,655,496 "
Jerry Stackhouse,"$9,296,874 ","$13,576,964 "
Richard Hamilton,"$9,187,500 ","$13,417,236 "
