95,Jahidi White,"$5,676,091 ","$9,155,624 "
96,Christian Laettner,"$5,625,000 ","$9,073,213 "
97,Radoslav Nesterovic,"$5,600,000 ","$9,032,888 "
98,Eric Williams,"$5,540,000 ","$8,936,107 "
99,Alvin Williams,"$5,500,000 ","$8,871,586 "
99,Kenny Thomas,"$5,500,000 ","$8,871,586 "
99,Ben Wallace,"$5,500,000 ","$8,871,586 "
102,Metta World Peace,"$5,473,684 ","$8,829,138 "
103,Calvin Booth,"$5,446,800 ","$8,785,774 "
104,Ruben Patterson,"$5,445,600 ","$8,783,838 "
104,Todd MacCulloch,"$5,445,600 ","$8,783,838 "
104,Joe Smith,"$5,445,600 ","$8,783,838 "
104,Clarence Weatherspoon,"$5,445,600 ","$8,783,838 "
104,Avery Johnson,"$5,445,600 ","$8,783,838 "
109,Danny Fortson,"$5,428,602 ","$8,756,420 "
110,Brent Barry,"$5,400,000 ","$8,710,285 "
111,Kurt Thomas,"$5,394,125 ","$8,700,808 "
111,Cuttino Mobley,"$5,394,125 ","$8,700,808 "
113,Scot Pollard,"$5,309,563 ","$8,564,408 "
114,Kenyon Martin,"$5,128,689 ","$8,272,656 "
115,Sam Cassell,"$5,062,500 ","$8,165,892 "
116,Larry Hughes,"$5,000,600 ","$8,066,046 "
116,Keon Clark,"$5,000,600 ","$8,066,046 "
116,Jerome James,"$5,000,600 ","$8,066,046 "
116,Chauncey Billups,"$5,000,600 ","$8,066,046 "
116,Ricky Davis,"$5,000,600 ","$8,066,046 "
121,Brevin Knight,"$5,000,000 ","$8,065,078 "
121,Aaron McKie,"$5,000,000 ","$8,065,078 "
121,Reggie Miller,"$5,000,000 ","$8,065,078 "
121,Corliss Williamson,"$5,000,000 ","$8,065,078 "
121,Nazr Mohammed,"$5,000,000 ","$8,065,078 "
126,Juwan Howard,"$4,917,000 ","$7,931,198 "
126,Michael Olowokandi,"$4,917,000 ","$7,931,198 "
126,James Posey,"$4,917,000 ","$7,931,198 "
126,Gary Payton,"$4,917,000 ","$7,931,198 "
126,Scottie Pippen,"$4,917,000 ","$7,931,198 "
126,Alonzo Mourning,"$4,917,000 ","$7,931,198 "
132,Malik Rose,"$4,916,250 ","$7,929,988 "
133,Rick Fox,"$4,734,797 ","$7,637,302 "
134,Clifford Robinson,"$4,700,000 ","$7,581,174 "
135,Donyell Marshall,"$4,605,196 ","$7,428,253 "
136,Stromile Swift,"$4,592,418 ","$7,407,642 "
137,Devean George,"$4,546,000 ","$7,332,769 "
138,Lamond Murray,"$4,500,000 ","$7,258,571 "
138,Robert Horry,"$4,500,000 ","$7,258,571 "
138,Eric Snow,"$4,500,000 ","$7,258,571 "
141,Michael Stewart,"$4,480,000 ","$7,226,310 "
142,Ervin Johnson,"$4,418,156 ","$7,126,555 "
143,Travis Knight,"$4,402,500 ","$7,101,302 "
144,Adonal Foyle,"$4,400,000 ","$7,097,269 "
144,Tony Battie,"$4,400,000 ","$7,097,269 "
146,Anthony Mason,"$4,348,094 ","$7,013,544 "
147,Matt Harpring,"$4,290,000 ","$6,919,837 "
148,Kwame Brown,"$4,252,080 ","$6,858,672 "
149,Zeljko Rebraca,"$4,200,000 ","$6,774,666 "
150,Yao Ming,"$4,147,560 ","$6,690,079 "
151,Darius Miles,"$4,130,701 ","$6,662,885 "
152,LeBron James,"$4,018,920 ","$6,482,581 "
153,Derrick Coleman,"$4,000,000 ","$6,452,063 "
153,Jeff Foster,"$4,000,000 ","$6,452,063 "
153,Elden Campbell,"$4,000,000 ","$6,452,063 "
156,David Wesley,"$3,960,000 ","$6,387,542 "
157,Marc Jackson,"$3,900,000 ","$6,290,761 "
157,Chucky Atkins,"$3,900,000 ","$6,290,761 "
