Player Name,2015-2016,2015-2016(*)
Kobe Bryant,"25,000,000.00","31,041,891.00"
LeBron James,"22,970,500.00","28,521,911.00"
Carmelo Anthony,"22,875,000.00","28,403,331.00"
Dwight Howard,"22,359,364.00","27,763,078.00"
Joe Johnson,"22,309,344.00","27,700,968.00"
Chris Bosh,"22,192,730.00","27,556,173.00"
Kevin Durant,"21,971,850.00","27,281,911.00"
Chris Paul,"21,468,695.00","26,657,156.00"
Derrick Rose,"20,093,064.00","24,949,068.00"
Dwyane Wade,"20,000,000.00","24,833,513.00"
LaMarcus Aldridge,"19,689,000.00","24,447,352.00"
Marc Gasol,"19,689,000.00","24,447,352.00"
DeAndre Jordan,"19,689,000.00","24,447,352.00"
Kevin Love,"19,689,000.00","24,447,352.00"
Brook Lopez,"19,689,000.00","24,447,352.00"
Blake Griffin,"18,862,876.00","23,421,574.00"
Paul Millsap,"18,671,659.00","23,184,144.00"
David Lee,"17,120,776.00","21,258,450.00"
Paul George,"16,900,000.00","20,984,318.00"
Russell Westbrook,"16,744,218.00","20,790,888.00"
Kawhi Leonard,"16,407,500.00","20,372,793.00"
Enes Kanter,"16,407,500.00","20,372,793.00"
Greg Monroe,"16,407,500.00","20,372,793.00"
Wesley Matthews,"16,407,500.00","20,372,793.00"
Kyrie Irving,"16,407,500.00","20,372,793.00"
Jimmy Butler,"16,407,500.00","20,372,793.00"
Tobias Harris,"16,000,000.00","19,866,810.00"
James Harden,"15,719,062.00","19,517,976.00"
Eric Gordon,"15,514,031.00","19,263,394.00"
Roy Hibbert,"15,514,031.00","19,263,394.00"
Klay Thompson,"15,501,000.00","19,247,214.00"
Gordon Hayward,"15,409,570.00","19,133,688.00"
Chandler Parsons,"15,361,500.00","19,074,000.00"
Goran Dragic,"14,783,000.00","18,355,691.00"
John Wall,"14,728,844.00","18,288,447.00"
DeMarcus Cousins,"14,728,844.00","18,288,447.00"
Khris Middleton,"14,700,000.00","18,252,632.00"
Draymond Green,"14,260,870.00","17,707,375.00"
Tristan Thompson,"14,260,000.00","17,706,295.00"
Danilo Gallinari,"14,000,000.00","17,383,459.00"
Reggie Jackson,"13,913,044.00","17,275,488.00"
DeMarre Carroll,"13,600,000.00","16,886,789.00"
Brandon Knight,"13,500,000.00","16,762,621.00"
Eric Bledsoe,"13,500,000.00","16,762,621.00"
Al Jefferson,"13,500,000.00","16,762,621.00"
Tony Parker,"13,437,500.00","16,685,016.00"
Joakim Noah,"13,400,000.00","16,638,454.00"
JaVale McGee,"13,270,964.00","16,478,233.00"
Nenê,"13,000,000.00","16,141,783.00"
Tyson Chandler,"13,000,000.00","16,141,783.00"
Ricky Rubio,"12,700,000.00","15,769,281.00"
Robin Lopez,"12,650,000.00","15,707,197.00"
Ty Lawson,"12,444,552.00","15,452,096.00"
Rudy Gay,"12,403,101.00","15,400,628.00"
Serge Ibaka,"12,250,000.00","15,210,527.00"
Nikola Pekovic,"12,100,000.00","15,024,275.00"
Derrick Favors,"12,000,000.00","14,900,108.00"
Kyle Lowry,"12,000,000.00","14,900,108.00"
Andrew Bogut,"12,000,000.00","14,900,108.00"
Kemba Walker,"12,000,000.00","14,900,108.00"
Amir Johnson,"12,000,000.00","14,900,108.00"
Al Horford,"12,000,000.00","14,900,108.00"
Nicolas Batum,"11,860,750.00","14,727,204.00"
Andre Iguodala,"11,710,456.00","14,540,588.00"
Stephen Curry,"11,370,786.00","14,118,828.00"
Nikola Vucevic,"11,250,000.00","13,968,851.00"
Kenneth Faried,"11,235,955.00","13,951,412.00"
Thaddeus Young,"11,235,955.00","13,951,412.00"
Marcin Gortat,"11,217,391.00","13,928,361.00"
Jrue Holiday,"11,000,000.00","13,658,432.00"
Deron Williams,"10,853,761.00","13,476,850.00"
Tyreke Evans,"10,734,586.00","13,328,874.00"
Wilson Chandler,"10,449,438.00","12,974,812.00"
Monta Ellis,"10,300,000.00","12,789,259.00"
Anderson Varejao,"10,158,574.00","12,613,654.00"
Luol Deng,"10,151,612.00","12,605,009.00"
Gerald Wallace,"10,105,855.00","12,548,194.00"
Danny Green,"10,000,000.00","12,416,756.00"
Zach Randolph,"10,000,000.00","12,416,756.00"
Mike Conley,"9,680,000.00","12,019,420.00"
DeMar DeRozan,"9,500,000.00","11,795,918.00"
Rajon Rondo,"9,500,000.00","11,795,918.00"
Alec Burks,"9,213,484.00","11,440,158.00"
Omer Asik,"9,213,483.00","11,440,157.00"
Jeff Green,"9,200,000.00","11,423,416.00"
Lance Stephenson,"9,000,000.00","11,175,081.00"
Iman Shumpert,"8,988,765.00","11,161,130.00"
Ryan Anderson,"8,500,000.00","10,554,243.00"
Kevin Garnett,"8,500,000.00","10,554,243.00"
Taj Gibson,"8,500,000.00","10,554,243.00"
Tiago Splitter,"8,500,000.00","10,554,243.00"
Brandon Jennings,"8,344,497.00","10,361,158.00"
Dirk Nowitzki,"8,333,333.00","10,347,296.00"
Corey Brewer,"8,229,375.00","10,218,214.00"
Trevor Ariza,"8,200,000.00","10,181,740.00"
Channing Frye,"8,193,029.00","10,173,084.00"
Al-Farouq Aminu,"8,042,895.00","9,986,667.00"
Markieff Morris,"8,000,000.00","9,933,405.00"
Arron Afflalo,"8,000,000.00","9,933,405.00"
OJ Mayo,"8,000,000.00","9,933,405.00"
George Hill,"8,000,000.00","9,933,405.00"
Jeff Teague,"8,000,000.00","9,933,405.00"
Ersan Ilyasova,"7,900,000.00","9,809,237.00"
Avery Bradley,"7,730,337.00","9,598,571.00"
Kosta Koufos,"7,700,000.00","9,560,902.00"
Boris Diaw,"7,500,000.00","9,312,567.00"
Pau Gasol,"7,448,760.00","9,248,944.00"
Jose Calderon,"7,402,812.00","9,191,891.00"
Kevin Martin,"7,402,474.00","9,191,471.00"
JJ Redick,"7,085,000.00","8,797,272.00"
Anthony Davis,"7,070,730.00","8,779,553.00"
Cory Joseph,"7,000,000.00","8,691,729.00"
Louis Williams,"7,000,000.00","8,691,729.00"
Rodney Stuckey,"7,000,000.00","8,691,729.00"
Marvin Williams,"7,000,000.00","8,691,729.00"
Ed Davis,"6,980,802.00","8,667,892.00"
Isaiah Thomas,"6,912,869.00","8,583,541.00"
Josh Smith,"6,830,916.00","8,481,782.00"
Jae Crowder,"6,796,117.00","8,438,573.00"
Jason Thompson,"6,752,729.00","8,384,698.00"
Carl Landry,"6,750,000.00","8,381,310.00"
Greivis Vasquez,"6,600,000.00","8,195,059.00"
Aron Baynes,"6,500,000.00","8,070,891.00"
Patrick Beverley,"6,486,486.00","8,054,111.00"
Michael Kidd-Gilchrist,"6,331,403.00","7,861,549.00"
Jarrett Jack,"6,300,000.00","7,822,556.00"
Jodie Meeks,"6,270,000.00","7,785,306.00"
Patrick Patterson,"6,268,675.00","7,783,661.00"
Marco Belinelli,"6,060,606.00","7,525,307.00"
Gerald Henderson,"6,000,000.00","7,450,054.00"
Andrew Wiggins,"5,758,680.00","7,150,412.00"
