Kevin Garnett,"$23,750,000 ","$33,776,427 "
Michael Finley,"$21,696,750 ","$30,856,366 "
Shaquille O'Neal,"$20,000,000 ","$28,443,307 "
Jermaine O'Neal,"$19,728,000 ","$28,056,478 "
Jason Kidd,"$19,728,000 ","$28,056,478 "
Chris Webber,"$19,602,173 ","$27,877,531 "
Kobe Bryant,"$19,490,625 ","$27,718,891 "
Tim Duncan,"$19,014,188 ","$27,041,319 "
Tracy McGrady,"$19,014,187 ","$27,041,318 "
Stephon Marbury,"$19,012,500 ","$27,038,919 "
Allen Iverson,"$19,012,500 ","$27,038,919 "
Steve Francis,"$17,500,000 ","$24,887,893 "
Shawn Marion,"$16,440,000 ","$23,380,398 "
Baron Davis,"$16,440,000 ","$23,380,398 "
Antawn Jamison,"$16,360,094 ","$23,266,759 "
Dirk Nowitzki,"$16,360,094 ","$23,266,759 "
Paul Pierce,"$16,360,094 ","$23,266,759 "
Ray Allen,"$16,000,000 ","$22,754,645 "
Ben Wallace,"$15,500,000 ","$22,043,563 "
Elton Brand,"$15,344,000 ","$21,821,705 "
Rashard Lewis,"$14,880,000 ","$21,161,820 "
Michael Redd,"$14,520,000 ","$20,649,841 "
Amare Stoudemire,"$13,762,775 ","$19,572,942 "
Yao Ming,"$13,762,775 ","$19,572,942 "
Andrei Kirilenko,"$13,735,000 ","$19,533,441 "
Pau Gasol,"$13,735,000 ","$19,533,441 "
Mike Bibby,"$13,500,000 ","$19,199,232 "
Joe Johnson,"$13,488,377 ","$19,182,702 "
Zach Randolph,"$13,333,333 ","$18,962,204 "
Vince Carter,"$13,320,000 ","$18,943,242 "
Kenyon Martin,"$13,250,000 ","$18,843,691 "
Lamar Odom,"$13,248,596 ","$18,841,694 "
Dwyane Wade,"$13,041,250 ","$18,546,814 "
Carmelo Anthony,"$13,041,250 ","$18,546,814 "
LeBron James,"$13,041,250 ","$18,546,814 "
Wally Szczerbiak,"$12,775,000 ","$18,168,162 "
Rasheed Wallace,"$12,540,000 ","$17,833,953 "
Chris Bosh,"$12,455,000 ","$17,713,069 "
Raef LaFrentz,"$12,440,787 ","$17,692,856 "
Richard Jefferson,"$12,200,000 ","$17,350,417 "
Larry Hughes,"$12,000,084 ","$17,066,103 "
Gilbert Arenas,"$11,950,400 ","$16,995,445 "
Theo Ratliff,"$11,666,666 ","$16,591,928 "
Predrag Stojakovic,"$11,664,000 ","$16,588,136 "
Steve Nash,"$11,375,000 ","$16,177,131 "
Carlos Boozer,"$11,260,483 ","$16,014,269 "
Marcus Camby,"$11,250,000 ","$15,999,360 "
Kirk Hinrich,"$11,250,000 ","$15,999,360 "
Jason Richardson,"$11,111,110 ","$15,801,835 "
Derek Fisher,"$10,723,900 ","$15,251,158 "
David West,"$10,650,000 ","$15,146,061 "
Erick Dampier,"$10,590,500 ","$15,061,442 "
Tony Parker,"$10,500,000 ","$14,932,736 "
Brad Miller,"$10,500,000 ","$14,932,736 "
Samuel Dalembert,"$10,250,000 ","$14,577,195 "
Tyson Chandler,"$10,250,000 ","$14,577,195 "
Adonal Foyle,"$10,157,090 ","$14,445,061 "
Zydrunas Ilgauskas,"$10,142,156 ","$14,423,823 "
Richard Hamilton,"$10,000,000 ","$14,221,653 "
Chauncey Billups,"$10,000,000 ","$14,221,653 "
Gerald Wallace,"$9,500,000 ","$13,510,571 "
Andre Miller,"$9,366,666 ","$13,320,948 "
Bobby Simmons,"$9,280,000 ","$13,197,694 "
Troy Murphy,"$9,206,349 ","$13,092,950 "
Manu Ginobili,"$9,079,811 ","$12,912,992 "
Kwame Brown,"$9,075,000 ","$12,906,150 "
Boris Diaw,"$9,000,000 ","$12,799,488 "
Josh Howard,"$9,000,000 ","$12,799,488 "
Eddy Curry,"$8,947,543 ","$12,724,885 "
Jason Williams,"$8,937,500 ","$12,710,603 "
Jason Terry,"$8,898,000 ","$12,654,427 "
Nenê,"$8,840,000 ","$12,571,941 "
Tayshaun Prince,"$8,675,620 ","$12,338,166 "
Chris Kaman,"$8,600,000 ","$12,230,622 "
Mehmet Okur,"$8,500,000 ","$12,088,405 "
Andres Nocioni,"$8,500,000 ","$12,088,405 "
Al Harrington,"$8,425,625 ","$11,982,632 "
Mike Miller,"$8,376,194 ","$11,912,333 "
Cuttino Mobley,"$8,350,000 ","$11,875,080 "
Antoine Walker,"$8,329,640 ","$11,846,125 "
Darius Miles,"$8,250,000 ","$11,732,864 "
Mike Dunleavy,"$8,219,008 ","$11,688,788 "
Caron Butler,"$8,218,990 ","$11,688,762 "
Quentin Richardson,"$8,105,500 ","$11,527,361 "
Juwan Howard,"$8,094,997 ","$11,512,424 "
Kurt Thomas,"$8,091,188 ","$11,507,007 "
TJ Ford,"$8,000,000 ","$11,377,322 "
Jamal Crawford,"$7,920,000 ","$11,263,549 "
Mark Blount,"$7,901,040 ","$11,236,585 "
Kenny Thomas,"$7,875,000 ","$11,199,552 "
Radoslav Nesterovic,"$7,840,000 ","$11,149,776 "
Maurice Williams,"$7,750,000 ","$11,021,781 "
Aaron McKie,"$7,750,000 ","$11,021,781 "
Jerome Williams,"$7,639,400 ","$10,864,490 "
Metta World Peace,"$7,400,000 ","$10,524,023 "
Troy Hudson,"$7,172,590 ","$10,200,608 "
Malik Rose,"$7,101,250 ","$10,099,151 "
Corey Maggette,"$7,000,000 ","$9,955,157 "
Ricky Davis,"$6,819,000 ","$9,697,745 "
Jerry Stackhouse,"$6,750,000 ","$9,599,616 "
Eric Snow,"$6,703,125 ","$9,532,952 "
Stephen Jackson,"$6,630,000 ","$9,428,956 "
Luke Ridnour,"$6,500,000 ","$9,244,074 "
Chris Wilcox,"$6,500,000 ","$9,244,074 "
Darko Milicic,"$6,500,000 ","$9,244,074 "
Drew Gooden,"$6,453,416 ","$9,177,824 "
