Drew Gooden,"$7,151,183 ","$9,683,861 "
Stephen Jackson,"$7,140,000 ","$9,668,718 "
Darko Milicic,"$7,020,000 ","$9,506,218 "
Jerry Stackhouse,"$7,000,000 ","$9,479,135 "
Etan Thomas,"$6,864,200 ","$9,295,240 "
Hidayet Turkoglu,"$6,864,200 ","$9,295,240 "
Marquis Daniels,"$6,864,200 ","$9,295,240 "
Chris Wilcox,"$6,750,000 ","$9,140,594 "
Jamaal Tinsley,"$6,750,000 ","$9,140,594 "
Udonis Haslem,"$6,575,000 ","$8,903,616 "
Marko Jaric,"$6,575,000 ","$8,903,616 "
Luke Ridnour,"$6,500,000 ","$8,802,054 "
Bobby Jackson,"$6,487,888 ","$8,785,652 "
Shane Battier,"$6,448,900 ","$8,732,856 "
Ben Gordon,"$6,404,750 ","$8,673,070 "
Nick Collison,"$6,350,000 ","$8,598,929 "
Joel Przybilla,"$6,310,150 ","$8,544,966 "
Brian Cardinal,"$6,300,000 ","$8,531,221 "
Andrew Bogut,"$6,294,310 ","$8,523,516 "
Dan Gadzuric,"$6,250,195 ","$8,463,777 "
Mike James,"$6,244,093 ","$8,455,514 "
Earl Watson,"$6,200,000 ","$8,395,805 "
Antonio Daniels,"$6,200,000 ","$8,395,805 "
Jason Collins,"$6,200,000 ","$8,395,805 "
Jerome James,"$6,200,000 ","$8,395,805 "
Stromile Swift,"$6,200,000 ","$8,395,805 "
Leandro Barbosa,"$6,100,000 ","$8,260,389 "
Jared Jeffries,"$6,049,400 ","$8,191,868 "
Tim Thomas,"$6,049,400 ","$8,191,868 "
Vladimir Radmanovic,"$6,049,400 ","$8,191,868 "
Nazr Mohammed,"$6,049,400 ","$8,191,868 "
Matt Harpring,"$6,000,000 ","$8,124,973 "
Jason Kapono,"$5,784,480 ","$7,833,124 "
Anderson Varejao,"$5,784,480 ","$7,833,124 "
Speedy Claxton,"$5,757,818 ","$7,797,019 "
Tony Battie,"$5,746,000 ","$7,781,015 "
Marvin Williams,"$5,636,143 ","$7,632,251 "
Mikki Moore,"$5,632,200 ","$7,626,912 "
Morris Peterson,"$5,592,240 ","$7,572,799 "
Beno Udrih,"$5,585,000 ","$7,562,995 "
Chris Duhon,"$5,585,000 ","$7,562,995 "
James Posey,"$5,585,000 ","$7,562,995 "
DeSagana Diop,"$5,585,000 ","$7,562,995 "
Brendan Haywood,"$5,500,000 ","$7,447,892 "
Jeff Foster,"$5,500,000 ","$7,447,892 "
Mickael Pietrus,"$5,300,000 ","$7,177,059 "
Desmond Mason,"$5,300,000 ","$7,177,059 "
Andrea Bargnani,"$5,176,440 ","$7,009,739 "
