Tracy McGrady,"$23,239,562 ","$31,925,643 "
Kobe Bryant,"$23,034,375 ","$31,643,765 "
Jermaine O'Neal,"$23,016,000 ","$31,618,522 "
Tim Duncan,"$22,183,220 ","$30,474,480 "
Shaquille O'Neal,"$20,000,000 ","$27,475,254 "
Dirk Nowitzki,"$19,795,714 ","$27,194,613 "
Paul Pierce,"$19,795,712 ","$27,194,610 "
Rashard Lewis,"$18,876,000 ","$25,931,144 "
Ray Allen,"$18,776,860 ","$25,794,950 "
Michael Redd,"$17,040,000 ","$23,408,916 "
Andrei Kirilenko,"$16,452,000 ","$22,601,144 "
Pau Gasol,"$16,452,000 ","$22,601,144 "
Kevin Garnett,"$16,400,000 ","$22,529,708 "
Amare Stoudemire,"$16,378,325 ","$22,499,932 "
Yao Ming,"$16,378,325 ","$22,499,932 "
Vince Carter,"$16,300,000 ","$22,392,332 "
Gilbert Arenas,"$16,192,080 ","$22,244,075 "
Zach Randolph,"$16,000,000 ","$21,980,203 "
Chris Bosh,"$15,779,912 ","$21,677,854 "
Dwyane Wade,"$15,779,912 ","$21,677,854 "
Carmelo Anthony,"$15,779,912 ","$21,677,854 "
LeBron James,"$15,779,912 ","$21,677,854 "
Kenyon Martin,"$15,363,636 ","$21,105,990 "
Dwight Howard,"$15,202,590 ","$20,884,751 "
Joe Johnson,"$14,976,754 ","$20,574,506 "
Elton Brand,"$14,858,471 ","$20,412,013 "
Richard Jefferson,"$14,200,000 ","$19,507,430 "
Larry Hughes,"$13,655,268 ","$18,759,097 "
Carlos Boozer,"$13,520,500 ","$18,573,958 "
Chris Paul,"$13,520,500 ","$18,573,958 "
Predrag Stojakovic,"$13,392,000 ","$18,397,430 "
Jason Richardson,"$13,333,333 ","$18,316,835 "
Steve Nash,"$13,125,000 ","$18,030,635 "
Tony Parker,"$12,600,000 ","$17,309,410 "
Andrew Bynum,"$12,526,998 ","$17,209,122 "
Deron Williams,"$12,323,900 ","$16,930,114 "
Brad Miller,"$12,250,000 ","$16,828,593 "
Andre Iguodala,"$12,200,000 ","$16,759,905 "
Baron Davis,"$12,150,000 ","$16,691,216 "
Erick Dampier,"$12,115,500 ","$16,643,822 "
Chauncey Billups,"$12,100,000 ","$16,622,528 "
Samuel Dalembert,"$12,025,694 ","$16,520,449 "
Al Jefferson,"$12,000,000 ","$16,485,152 "
Tyson Chandler,"$11,850,000 ","$16,279,088 "
Antawn Jamison,"$11,641,095 ","$15,992,102 "
Richard Hamilton,"$11,625,000 ","$15,969,991 "
Zydrunas Ilgauskas,"$11,541,074 ","$15,854,697 "
Troy Murphy,"$11,047,619 ","$15,176,807 "
Monta Ellis,"$11,000,000 ","$15,111,389 "
Josh Howard,"$10,890,000 ","$14,960,275 "
Josh Smith,"$10,800,000 ","$14,836,637 "
Manu Ginobili,"$10,728,130 ","$14,737,904 "
Bobby Simmons,"$10,560,000 ","$14,506,934 "
Emeka Okafor,"$10,538,937 ","$14,477,998 "
Nenê,"$10,520,000 ","$14,451,983 "
Eddy Curry,"$10,500,423 ","$14,425,089 "
Chris Kaman,"$10,400,000 ","$14,287,132 "
Luol Deng,"$10,370,425 ","$14,246,503 "
Tayshaun Prince,"$10,324,380 ","$14,183,248 "
Kevin Martin,"$10,180,170 ","$13,985,137 "
Al Harrington,"$10,026,875 ","$13,774,546 "
Andrew Bogut,"$10,000,000 ","$13,737,627 "
Ben Gordon,"$10,000,000 ","$13,737,627 "
Danny Granger,"$9,930,500 ","$13,642,150 "
Jason Terry,"$9,862,500 ","$13,548,734 "
Mike Dunleavy,"$9,780,992 ","$13,436,762 "
Caron Butler,"$9,780,970 ","$13,436,731 "
Mike Miller,"$9,750,000 ","$13,394,186 "
Cuttino Mobley,"$9,500,000 ","$13,050,745 "
Kirk Hinrich,"$9,500,000 ","$13,050,745 "
Earl Watson,"$9,400,000 ","$12,913,368 "
Jamal Crawford,"$9,360,000 ","$12,858,418 "
Quentin Richardson,"$9,352,400 ","$12,847,978 "
David West,"$9,075,000 ","$12,466,896 "
Gerald Wallace,"$9,075,000 ","$12,466,896 "
