Player Name,2008-2009,2008-2009(*)
Kevin Garnett,24751934.00,33518133.00
Jermaine O'Neal,21372000.00,28941154.00
Jason Kidd,21372000.00,28941154.00
Kobe Bryant,21262500.00,28792873.00
Shaquille O'Neal,21000000.00,28437406.00
Stephon Marbury,20840625.00,28221586.00
Allen Iverson,20840625.00,28221586.00
Tim Duncan,20598704.00,27893986.00
Tracy McGrady,20370437.00,27584875.00
Steve Francis,19816550.00,26834822.00
Ray Allen,18388430.00,24900916.00
Dirk Nowitzki,18077904.00,24480414.00
Paul Pierce,18077903.00,24480412.00
Shawn Marion,17810000.00,24117628.00
Rashard Lewis,16447871.00,22273085.00
Michael Redd,15780000.00,21368679.00
Andrei Kirilenko,15106000.00,20455974.00
Pau Gasol,15106000.00,20455974.00
Amare Stoudemire,15070550.00,20407969.00
Yao Ming,15070550.00,20407969.00
Mike Bibby,14983603.00,20290228.00
Vince Carter,14724125.00,19938853.00
Zach Randolph,14666667.00,19861045.00
Gilbert Arenas,14653466.00,19843169.00
Ben Wallace,14500000.00,19635351.00
Kenyon Martin,14431816.00,19543019.00
Chris Bosh,14410581.00,19514263.00
Dwyane Wade,14410581.00,19514263.00
Carmelo Anthony,14410581.00,19514263.00
LeBron James,14410581.00,19514263.00
Joe Johnson,14232567.00,19273204.00
Lamar Odom,14148596.00,19159493.00
Rasheed Wallace,13930000.00,18863479.00
Wally Szczerbiak,13775000.00,18653584.00
Dwight Howard,13758000.00,18630563.00
Elton Brand,13757844.00,18630352.00
Richard Jefferson,13200000.00,17874940.00
Larry Hughes,12827676.00,17370753.00
Raef LaFrentz,12722500.00,17228328.00
Jason Richardson,12664335.00,17149563.00
Predrag Stojakovic,12528000.00,16964943.00
Steve Nash,12250000.00,16588486.00
Carlos Boozer,11593817.00,15699908.00
Erick Dampier,11553000.00,15644635.00
Tony Parker,11550000.00,15640573.00
Brad Miller,11375000.00,15403594.00
Tyson Chandler,11350000.00,15369740.00
Andre Iguodala,11300000.00,15302032.00
Baron Davis,11250000.00,15234324.00
Samuel Dalembert,11238564.00,15218838.00
Chauncey Billups,11050000.00,14963492.00
Al Jefferson,11000000.00,14895784.00
Monta Ellis,11000000.00,14895784.00
Zydrunas Ilgauskas,10841615.00,14681305.00
Richard Hamilton,10812500.00,14641878.00
Bobby Simmons,10602667.00,14357730.00
Andre Miller,10333334.00,13993010.00
Troy Murphy,10126984.00,13713578.00
Marcus Camby,10000000.00,13541621.00
Kirk Hinrich,10000000.00,13541621.00
Josh Smith,10000000.00,13541621.00
Josh Howard,9945000.00,13467142.00
Antawn Jamison,9923285.00,13437737.00
Manu Ginobili,9905248.00,13413312.00
David West,9862500.00,13355424.00
Eddy Curry,9723983.00,13167850.00
Darius Miles,9704752.00,13141807.00
Nenê,9680000.00,13108290.00
Emeka Okafor,9537500.00,12915321.00
Chris Kaman,9500000.00,12864540.00
Tayshaun Prince,9500000.00,12864540.00
Gerald Wallace,9500000.00,12864540.00
Luol Deng,9385000.00,12708812.00
Caron Butler,9249980.00,12525973.00
Al Harrington,9226250.00,12493838.00
Jason Terry,9196000.00,12452875.00
Cuttino Mobley,9100000.00,12322875.00
Mike Miller,9028575.00,12226154.00
Mike Dunleavy,9000000.00,12187459.00
Andris Biedrins,9000000.00,12187459.00
Boris Diaw,9000000.00,12187459.00
Antoine Walker,8854475.00,11990395.00
Kevin Martin,8760335.00,11862914.00
Quentin Richardson,8685500.00,11761575.00
Jamal Crawford,8640000.00,11699961.00
Kenny Thomas,8562500.00,11595013.00
Mark Blount,8513916.00,11529223.00
Mehmet Okur,8500000.00,11510378.00
Radoslav Nesterovic,8400000.00,11374962.00
Juwan Howard,8355619.00,11314862.00
Maurice Williams,8353000.00,11311316.00
Corey Maggette,8275862.00,11206859.00
Adonal Foyle,8062275.00,10917627.00
Andres Nocioni,8000000.00,10833297.00
TJ Ford,8000000.00,10833297.00
Devin Harris,7800000.00,10562465.00
Jameer Nelson,7700000.00,10427048.00
Malik Rose,7647500.00,10355955.00
Jose Calderon,7438018.00,10072282.00
Metta World Peace,7400000.00,10020800.00
Eric Snow,7312500.00,9902311.00
Donyell Marshall,7213169.00,9767800.00
Drew Gooden,7151183.00,9683861.00
Stephen Jackson,7140000.00,9668718.00
Darko Milicic,7020000.00,9506218.00
Jerry Stackhouse,7000000.00,9479135.00
Etan Thomas,6864200.00,9295240.00
Hidayet Turkoglu,6864200.00,9295240.00
Marquis Daniels,6864200.00,9295240.00
Chris Wilcox,6750000.00,9140594.00
Jamaal Tinsley,6750000.00,9140594.00
Udonis Haslem,6575000.00,8903616.00
Marko Jaric,6575000.00,8903616.00
Luke Ridnour,6500000.00,8802054.00
Bobby Jackson,6487888.00,8785652.00
Shane Battier,6448900.00,8732856.00
Ben Gordon,6404750.00,8673070.00
Nick Collison,6350000.00,8598929.00
Joel Przybilla,6310150.00,8544966.00
Brian Cardinal,6300000.00,8531221.00
Andrew Bogut,6294310.00,8523516.00
Dan Gadzuric,6250195.00,8463777.00
Mike James,6244093.00,8455514.00
Earl Watson,6200000.00,8395805.00
Antonio Daniels,6200000.00,8395805.00
Jason Collins,6200000.00,8395805.00
Jerome James,6200000.00,8395805.00
Stromile Swift,6200000.00,8395805.00
Leandro Barbosa,6100000.00,8260389.00
Jared Jeffries,6049400.00,8191868.00
Tim Thomas,6049400.00,8191868.00
Vladimir Radmanovic,6049400.00,8191868.00
Nazr Mohammed,6049400.00,8191868.00
Matt Harpring,6000000.00,8124973.00
Jason Kapono,5784480.00,7833124.00
Anderson Varejao,5784480.00,7833124.00
Speedy Claxton,5757818.00,7797019.00
Tony Battie,5746000.00,7781015.00
Marvin Williams,5636143.00,7632251.00
Mikki Moore,5632200.00,7626912.00
Morris Peterson,5592240.00,7572799.00
Beno Udrih,5585000.00,7562995.00
Chris Duhon,5585000.00,7562995.00
James Posey,5585000.00,7562995.00
DeSagana Diop,5585000.00,7562995.00
Brendan Haywood,5500000.00,7447892.00
Jeff Foster,5500000.00,7447892.00
Mickael Pietrus,5300000.00,7177059.00
Desmond Mason,5300000.00,7177059.00
Andrea Bargnani,5176440.00,7009739.00
John Salmons,5104000.00,6911643.00
Deron Williams,5069449.00,6864856.00
Matt Carroll,5050000.00,6838519.00
Greg Oden,5011680.00,6786627.00
Raja Bell,5000000.00,6770810.00
JR Smith,4985001.00,6750499.00
