Player Name,2012-2013,2012-2013(*)
Omer Asik,5000000.00,6456196.00
Jason Maxiell,5000000.00,6456196.00
Andre Miller,5000000.00,6456196.00
Ramon Sessions,5000000.00,6456196.00
Courtney Lee,5000000.00,6456196.00
Jason Terry,5000000.00,6456196.00
Kyle Korver,5000000.00,6456196.00
Louis Williams,5000000.00,6456196.00
Derrick Williams,4947840.00,6388845.00
Robin Lopez,4899293.00,6326159.00
Luc Mbah a Moute,4794192.00,6190448.00
Daniel Gibson,4792332.00,6188047.00
Derrick Favors,4753320.00,6137673.00
Nikola Pekovic,4640000.00,5991350.00
Michael Kidd-Gilchrist,4602720.00,5943212.00
Linas Kleiza,4600000.00,5939700.00
Marcus Camby,4590338.00,5927224.00
Boris Diaw,4500000.00,5810576.00
Luis Scola,4500000.00,5810576.00
Jonas Jerebko,4500000.00,5810576.00
Jose Juan Barea,4493000.00,5801537.00
Enes Kanter,4443360.00,5737440.00
Wesley Johnson,4285560.00,5533683.00
Jared Dudley,4250000.00,5487766.00
Marreese Speights,4200000.00,5423204.00
Bradley Beal,4133280.00,5337053.00
Dorell Wright,4106000.00,5301828.00
Udonis Haslem,4060000.00,5242431.00
Steve Novak,4054055.00,5234754.00
OJ Mayo,4020000.00,5190781.00
Tristan Thompson,4006080.00,5172807.00
JJ Hickson,4000000.00,5164956.00
Hakim Warrick,4000000.00,5164956.00
Raymond Felton,4000000.00,5164956.00
Luke Ridnour,4000000.00,5164956.00
Mario Chalmers,4000000.00,5164956.00
Steve Blake,4000000.00,5164956.00
Ryan Gomes,4000000.00,5164956.00
Ian Mahinmi,4000000.00,5164956.00
Brandon Rush,4000000.00,5164956.00
Carl Landry,4000000.00,5164956.00
Anthony Morrow,4000000.00,5164956.00
Stephen Curry,3958742.00,5111683.00
Tiago Splitter,3944000.00,5092647.00
Kirk Hinrich,3941000.00,5088773.00
DeMarcus Cousins,3880800.00,5011041.00
Mike Dunleavy,3750000.00,4842147.00
Joel Anthony,3750000.00,4842147.00
Ricky Rubio,3741120.00,4830680.00
Dion Waiters,3726600.00,4811932.00
Chris Duhon,3680000.00,4751760.00
Matt Bonner,3630000.00,4687198.00
Daequan Cook,3602675.00,4651914.00
Thabo Sefolosha,3600000.00,4648461.00
Ekpe Udoh,3524880.00,4551463.00
Danny Green,3500000.00,4519337.00
Shannon Brown,3500000.00,4519337.00
Matt Carroll,3500000.00,4519337.00
Jordan Hill,3500000.00,4519337.00
Gerald Green,3500000.00,4519337.00
