Player Name,2011-2012,2011-2012(*)
Kobe Bryant,25244493.00,33139086.00
Vince Carter,21300000.00,27961050.00
Kevin Garnett,21247044.00,27891534.00
Tim Duncan,21164619.00,27783332.00
Rashard Lewis,21136631.00,27746592.00
Gilbert Arenas,19269307.00,25295308.00
Dirk Nowitzki,19092873.00,25063699.00
Pau Gasol,18714150.00,24566539.00
Carmelo Anthony,18518574.00,24309802.00
Amare Stoudemire,18217705.00,23914843.00
Dwight Howard,18091770.00,23749525.00
Joe Johnson,18038573.00,23679692.00
Richard Hamilton,17500000.00,22972693.00
Elton Brand,17059727.00,22394736.00
Chris Paul,16359805.00,21475931.00
Deron Williams,16359805.00,21475931.00
Brandon Roy,16032144.00,21045802.00
Chris Bosh,16022500.00,21033142.00
LeBron James,16022500.00,21033142.00
Dwyane Wade,15691000.00,20597974.00
Kevin Durant,15506632.00,20355949.00
Paul Pierce,15333334.00,20128456.00
Baron Davis,15252181.00,20021924.00
Zach Randolph,15200000.00,19953425.00
Antawn Jamison,15076715.00,19791586.00
Rudy Gay,15032144.00,19733077.00
Andrew Bynum,14900000.00,19559608.00
Chauncey Billups,14200000.00,18640699.00
Chris Kaman,14030000.00,18417537.00
Al Jefferson,14000000.00,18378155.00
Andre Iguodala,13531750.00,17763471.00
Carlos Boozer,13500000.00,17721792.00
Tyson Chandler,13107837.00,17206990.00
Nenê,13000000.00,17065430.00
Manu Ginobili,12981038.00,17040538.00
Marc Gasol,12922194.00,16963292.00
Emeka Okafor,12541812.00,16463955.00
Tony Parker,12500000.00,16409067.00
Josh Smith,12400000.00,16277794.00
LaMarcus Aldridge,12372000.00,16241038.00
Luol Deng,12325000.00,16179340.00
Danny Granger,12015904.00,15773582.00
Andrew Bogut,12000000.00,15752704.00
Joakim Noah,12000000.00,15752704.00
Al Horford,12000000.00,15752704.00
Steve Nash,11689062.00,15344528.00
David Lee,11610000.00,15240741.00
Ben Gordon,11600000.00,15227614.00
Kevin Martin,11519840.00,15122386.00
Marcus Camby,11227250.00,14738296.00
Jason Terry,11158000.00,14647389.00
Hidayet Turkoglu,11015850.00,14460785.00
Monta Ellis,11000000.00,14439979.00
Mehmet Okur,10890000.00,14295579.00
Corey Maggette,10262069.00,13471278.00
Jason Kidd,10121000.00,13286093.00
DeAndre Jordan,10079404.00,13231489.00
Rajon Rondo,10045455.00,13186923.00
David West,10000000.00,13127253.00
Ray Allen,10000000.00,13127253.00
Jose Calderon,9780992.00,12839756.00
Gerald Wallace,9500000.00,12470891.00
Devin Harris,9319000.00,12233287.00
Richard Jefferson,9282000.00,12184717.00
Stephen Jackson,9256500.00,12151242.00
Andrea Bargnani,9250000.00,12142709.00
Andris Biedrins,9000000.00,11814528.00
Boris Diaw,9000000.00,11814528.00
Lamar Odom,8900000.00,11683255.00
Luis Scola,8591793.00,11278664.00
John Salmons,8500000.00,11158165.00
Carl Landry,8500000.00,11158165.00
Maurice Williams,8500000.00,11158165.00
Rodney Stuckey,8500000.00,11158165.00
Paul Millsap,8103435.00,10637584.00
Kirk Hinrich,8100000.00,10633075.00
Shawn Marion,8022449.00,10531272.00
Caron Butler,8000000.00,10501803.00
Kris Humphries,8000000.00,10501803.00
Andre Miller,7807728.00,10249402.00
Jameer Nelson,7800000.00,10239258.00
Anderson Varejao,7700000.00,10107985.00
Brendan Haywood,7624500.00,10008874.00
Leandro Barbosa,7600000.00,9976712.00
James Posey,7595600.00,9970936.00
Arron Afflalo,7562500.00,9927485.00
Raymond Felton,7560000.00,9924203.00
Charlie Villanueva,7540000.00,9897949.00
Marvin Williams,7500000.00,9845440.00
Thaddeus Young,7478261.00,9816903.00
Tyrus Thomas,7305765.00,9590463.00
Kendrick Perkins,7123626.00,9351364.00
Marcus Thornton,7000000.00,9189077.00
Samuel Dalembert,7000000.00,9189077.00
Travis Outlaw,7000000.00,9189077.00
Derrick Rose,6993708.00,9180818.00
Beno Udrih,6925400.00,9091148.00
DeSagana Diop,6925400.00,9091148.00
Marcin Gortat,6790640.00,8914245.00
Trevor Ariza,6790640.00,8914245.00
Metta World Peace,6790640.00,8914245.00
JJ Redick,6750000.00,8860896.00
Kwame Brown,6750000.00,8860896.00
Andres Nocioni,6650000.00,8729623.00
Mike Conley,6611571.00,8679177.00
Mickael Pietrus,6523166.00,8563125.00
Grant Hill,6500000.00,8532715.00
Andray Blatche,6442083.00,8456685.00
Glen Davis,6300000.00,8270169.00
Tayshaun Prince,6292135.00,8259845.00
Michael Beasley,6262347.00,8220741.00
Drew Gooden,6226200.00,8173290.00
Al Harrington,6226200.00,8173290.00
Jermaine O'Neal,6226200.00,8173290.00
Wesley Matthews,6135160.00,8053780.00
Josh Childress,6000000.00,7876352.00
Francisco Garcia,5800000.00,7613807.00
Kyle Lowry,5750000.00,7548170.00
Blake Griffin,5731080.00,7523334.00
Luke Walton,5680000.00,7456280.00
OJ Mayo,5632637.00,7394105.00
Channing Frye,5600000.00,7351262.00
John Wall,5530080.00,7259476.00
Amir Johnson,5500000.00,7219989.00
Nate Robinson,5483307.00,7198076.00
Mike Miller,5400000.00,7088717.00
Jason Richardson,5395000.00,7082153.00
Martell Webster,5256000.00,6899684.00
Chuck Hayes,5250000.00,6891808.00
Louis Williams,5176000.00,6794666.00
Kyrie Irving,5144280.00,6753026.00
Hasheem Thabeet,5127720.00,6731288.00
Russell Westbrook,5082416.00,6671816.00
Jamal Crawford,5000000.00,6563626.00
Jarrett Jack,5000000.00,6563626.00
Luc Mbah a Moute,5000000.00,6563626.00
Jason Maxiell,5000000.00,6563626.00
Kyle Korver,5000000.00,6563626.00
Evan Turner,4947840.00,6495155.00
Darko Milicic,4776500.00,6270232.00
Brad Miller,4752000.00,6238071.00
Zaza Pachulia,4750000.00,6235445.00
Ronnie Brewer,4710000.00,6182936.00
Kevin Love,4609701.00,6051271.00
Linas Kleiza,4605000.00,6045100.00
James Harden,4604760.00,6044785.00
Derrick Williams,4602720.00,6042107.00
Nikola Pekovic,4503600.00,5911990.00
Jonas Jerebko,4500000.00,5907264.00
Derrick Favors,4443360.00,5832911.00
Daniel Gibson,4403834.00,5781024.00
Ronny Turiaf,4360000.00,5723482.00
Jose Juan Barea,4300000.00,5644719.00
Ramon Sessions,4257973.00,5589549.00
Jared Dudley,4250000.00,5579082.00
Randy Foye,4250000.00,5579082.00
Brandon Bass,4250000.00,5579082.00
Chris Andersen,4234000.00,5558079.00
Danilo Gallinari,4190182.00,5500558.00
Tyreke Evans,4151640.00,5449963.00
Enes Kanter,4133280.00,5425861.00
Charlie Bell,4099920.00,5382069.00
Spencer Hawes,4051024.00,5317882.00
Wesley Johnson,4006080.00,5258882.00
Hakim Warrick,4000000.00,5250901.00
Mario Chalmers,4000000.00,5250901.00
Steve Blake,4000000.00,5250901.00
Ryan Gomes,4000000.00,5250901.00
Anthony Morrow,4000000.00,5250901.00
Jordan Farmar,4000000.00,5250901.00
Matt Carroll,3900000.00,5119629.00
Eric Gordon,3831184.00,5029292.00
Dorell Wright,3823000.00,5018549.00
Udonis Haslem,3780000.00,4962101.00
Nazr Mohammed,3750000.00,4922720.00
Mike Dunleavy,3750000.00,4922720.00
Tristan Thompson,3726600.00,4892002.00
CJ Miles,3700000.00,4857083.00
Nick Young,3695857.00,4851645.00
Luke Ridnour,3680000.00,4830829.00
Tiago Splitter,3672000.00,4820327.00
DeMarcus Cousins,3627720.00,4762200.00
Joel Anthony,3600000.00,4725811.00
Shannon Brown,3500000.00,4594538.00
Chris Duhon,3500000.00,4594538.00
Carlos Delfino,3500000.00,4594538.00
Shaun Livingston,3500000.00,4594538.00
Ricky Rubio,3480120.00,4568441.00
Jonny Flynn,3414720.00,4482589.00
