Player Name,2014-2015,2014-2015(*)
Kobe Bryant,"23,500,000.00","29,215,494.00"
Joe Johnson,"23,180,790.00","28,818,648.00"
Carmelo Anthony,"22,458,401.00","27,920,565.00"
Amare Stoudemire,"21,896,658.00","27,222,199.00"
Dwight Howard,"21,436,271.00","26,649,840.00"
Chris Bosh,"20,644,400.00","25,665,376.00"
LeBron James,"20,644,400.00","25,665,376.00"
Chris Paul,"20,068,563.00","24,949,488.00"
Kevin Durant,"19,997,513.00","24,861,158.00"
Deron Williams,"19,754,465.00","24,558,998.00"
Rudy Gay,"19,317,326.00","24,015,541.00"
Derrick Rose,"18,862,876.00","23,450,563.00"
Blake Griffin,"17,632,688.00","21,921,178.00"
Carlos Boozer,"16,800,000.00","20,885,969.00"
Zach Randolph,"16,500,000.00","20,513,006.00"
Marc Gasol,"15,829,688.00","19,679,666.00"
Paul George,"15,800,000.00","19,642,757.00"
Kevin Love,"15,719,063.00","19,542,135.00"
Russell Westbrook,"15,719,062.00","19,542,134.00"
Brook Lopez,"15,719,000.00","19,542,057.00"
LaMarcus Aldridge,"15,200,000.00","18,896,830.00"
David Lee,"15,012,000.00","18,663,106.00"
Dwyane Wade,"15,000,000.00","18,648,187.00"
Josh Smith,"14,945,778.00","18,580,778.00"
Omer Asik,"14,898,938.00","18,522,546.00"
Eric Gordon,"14,898,938.00","18,522,546.00"
Jeremy Lin,"14,898,938.00","18,522,546.00"
Roy Hibbert,"14,898,938.00","18,522,546.00"
Gordon Hayward,"14,746,000.00","18,332,411.00"
Chandler Parsons,"14,700,000.00","18,275,223.00"
James Harden,"14,693,906.00","18,267,647.00"
Tyson Chandler,"14,596,888.00","18,147,033.00"
Brandon Roy,"14,399,332.00","17,901,429.00"
John Wall,"13,701,250.00","17,033,565.00"
DeMarcus Cousins,"13,701,250.00","17,033,565.00"
Al Jefferson,"13,500,000.00","16,783,368.00"
Nenê,"13,000,000.00","16,161,762.00"
Eric Bledsoe,"13,000,000.00","16,161,762.00"
Andrew Bogut,"12,972,973.00","16,128,162.00"
Derrick Favors,"12,950,000.00","16,099,602.00"
Rajon Rondo,"12,909,090.00","16,048,742.00"
Joakim Noah,"12,700,000.00","15,788,798.00"
Tony Parker,"12,500,000.00","15,540,156.00"
Andre Iguodala,"12,289,544.00","15,278,514.00"
Serge Ibaka,"12,250,000.00","15,229,353.00"
Nikola Pekovic,"12,100,000.00","15,042,871.00"
Kyle Lowry,"12,000,000.00","14,918,550.00"
Andrea Bargnani,"12,000,000.00","14,918,550.00"
Kevin Garnett,"12,000,000.00","14,918,550.00"
David West,"12,000,000.00","14,918,550.00"
Al Horford,"12,000,000.00","14,918,550.00"
Ty Lawson,"11,595,506.00","14,415,678.00"
DeAndre Jordan,"11,440,123.00","14,222,504.00"
Nicolas Batum,"11,390,500.00","14,160,812.00"
Tyreke Evans,"11,265,416.00","14,005,306.00"
JaVale McGee,"11,250,000.00","13,986,140.00"
Jrue Holiday,"11,000,000.00","13,675,337.00"
Larry Sanders,"11,000,000.00","13,675,337.00"
Danilo Gallinari,"10,854,850.00","13,494,885.00"
Stephen Curry,"10,629,213.00","13,214,370.00"
Marcin Gortat,"10,434,782.00","12,972,651.00"
Tim Duncan,"10,361,446.00","12,881,479.00"
Gerald Wallace,"10,105,855.00","12,563,725.00"
Anderson Varejao,"9,800,000.00","12,183,482.00"
Brendan Haywood,"9,798,000.00","12,180,996.00"
Luol Deng,"9,714,461.00","12,077,139.00"
Steve Nash,"9,701,000.00","12,060,404.00"
Kendrick Perkins,"9,588,889.00","11,921,026.00"
DeMar DeRozan,"9,500,000.00","11,810,518.00"
Paul Millsap,"9,500,000.00","11,810,518.00"
Tyrus Thomas,"9,460,664.00","11,761,615.00"
Mike Miller,"9,332,000.00","11,601,658.00"
Tiago Splitter,"9,250,000.00","11,499,715.00"
Jeff Green,"9,200,000.00","11,437,555.00"
Thaddeus Young,"9,160,870.00","11,388,908.00"
Jordan Hill,"9,000,000.00","11,188,912.00"
Lance Stephenson,"9,000,000.00","11,188,912.00"
Mike Conley,"8,760,000.00","10,890,541.00"
Monta Ellis,"8,720,000.00","10,840,813.00"
Marcus Thornton,"8,697,500.00","10,812,840.00"
Trevor Ariza,"8,600,000.00","10,691,627.00"
Channing Frye,"8,579,088.00","10,665,629.00"
Landry Fields,"8,500,000.00","10,567,306.00"
Ryan Anderson,"8,491,500.00","10,556,739.00"
Marcus Camby,"8,354,416.00","10,386,314.00"
Drew Gooden,"8,128,490.00","10,105,439.00"
Boris Diaw,"8,000,000.00","9,945,700.00"
OJ Mayo,"8,000,000.00","9,945,700.00"
George Hill,"8,000,000.00","9,945,700.00"
Brandon Jennings,"8,000,000.00","9,945,700.00"
Taj Gibson,"8,000,000.00","9,945,700.00"
Jeff Teague,"8,000,000.00","9,945,700.00"
Dirk Nowitzki,"7,974,482.00","9,913,975.00"
Ersan Ilyasova,"7,900,000.00","9,821,378.00"
Glen Davis,"7,827,985.00","9,731,848.00"
Tayshaun Prince,"7,707,865.00","9,582,514.00"
Al Harrington,"7,609,800.00","9,460,598.00"
Arron Afflalo,"7,562,500.00","9,401,794.00"
Goran Dragic,"7,500,000.00","9,324,093.00"
Kyrie Irving,"7,459,924.00","9,274,270.00"
Josh Childress,"7,317,500.00","9,097,207.00"
Wesley Matthews,"7,245,640.00","9,007,870.00"
Isaiah Thomas,"7,238,606.00","8,999,125.00"
Avery Bradley,"7,191,011.00","8,939,954.00"
Pau Gasol,"7,128,000.00","8,861,618.00"
Jose Calderon,"7,097,191.00","8,823,316.00"
Amir Johnson,"7,000,000.00","8,702,487.00"
Manu Ginobili,"7,000,000.00","8,702,487.00"
Marvin Williams,"7,000,000.00","8,702,487.00"
Travis Outlaw,"7,000,000.00","8,702,487.00"
Brandon Bass,"6,950,000.00","8,640,326.00"
Kevin Martin,"6,792,500.00","8,444,520.00"
JJ Redick,"6,792,500.00","8,444,520.00"
Wilson Chandler,"6,754,913.00","8,397,792.00"
Carl Landry,"6,750,000.00","8,391,684.00"
Derrick Williams,"6,679,866.00","8,304,492.00"
Jason Richardson,"6,601,125.00","8,206,601.00"
Greivis Vasquez,"6,400,000.00","7,956,560.00"
Jarrett Jack,"6,300,000.00","7,832,238.00"
Kyle Korver,"6,253,521.00","7,774,455.00"
Jason Thompson,"6,037,500.00","7,505,895.00"
Enes Kanter,"6,008,106.00","7,469,352.00"
Jodie Meeks,"6,000,000.00","7,459,275.00"
Gerald Henderson,"6,000,000.00","7,459,275.00"
JR Smith,"5,982,375.00","7,437,363.00"
Chuck Hayes,"5,958,750.00","7,407,992.00"
Patrick Patterson,"5,831,326.00","7,249,577.00"
Jose Juan Barea,"5,822,078.00","7,238,079.00"
PJ Tucker,"5,700,000.00","7,086,311.00"
Anthony Davis,"5,607,240.00","6,970,990.00"
Anthony Bennett,"5,563,920.00","6,917,134.00"
Andrew Wiggins,"5,510,640.00","6,850,896.00"
Greg Monroe,"5,479,933.00","6,812,721.00"
Louis Williams,"5,450,000.00","6,775,508.00"
Courtney Lee,"5,450,000.00","6,775,508.00"
Jamal Crawford,"5,450,000.00","6,775,508.00"
Jason Terry,"5,450,000.00","6,775,508.00"
Tristan Thompson,"5,421,233.00","6,739,744.00"
Martell Webster,"5,381,750.00","6,690,658.00"
JJ Hickson,"5,381,750.00","6,690,658.00"
Robin Lopez,"5,340,229.00","6,639,039.00"
Paul Pierce,"5,305,000.00","6,595,242.00"
Josh McRoberts,"5,305,000.00","6,595,242.00"
Spencer Hawes,"5,305,000.00","6,595,242.00"
Shaun Livingston,"5,305,000.00","6,595,242.00"
Nikola Mirotic,"5,305,000.00","6,595,242.00"
Chris Andersen,"5,300,000.00","6,589,026.00"
Zaza Pachulia,"5,200,000.00","6,464,705.00"
Ricky Rubio,"5,070,686.00","6,303,940.00"
Michael Kidd-Gilchrist,"5,016,960.00","6,237,147.00"
Trevor Booker,"5,000,000.00","6,216,062.00"
Brandan Wright,"5,000,000.00","6,216,062.00"
Chase Budinger,"5,000,000.00","6,216,062.00"
Tony Allen,"5,000,000.00","6,216,062.00"
Nick Young,"4,994,420.00","6,209,125.00"
Victor Oladipo,"4,978,200.00","6,188,960.00"
Jabari Parker,"4,930,560.00","6,129,733.00"
Chris Kaman,"4,800,000.00","5,967,420.00"
Darren Collison,"4,797,664.00","5,964,515.00"
Kostas Papanikolaou,"4,797,664.00","5,964,515.00"
Jameer Nelson,"4,750,000.00","5,905,259.00"
Corey Brewer,"4,702,500.00","5,846,206.00"
Timofey Mozgov,"4,650,000.00","5,780,938.00"
Andre Miller,"4,625,000.00","5,749,857.00"
Bradley Beal,"4,505,280.00","5,601,020.00"
Ben Gordon,"4,500,000.00","5,594,456.00"
Caron Butler,"4,500,000.00","5,594,456.00"
Luis Scola,"4,500,000.00","5,594,456.00"
Jonas Jerebko,"4,500,000.00","5,594,456.00"
Otto Porter,"4,470,480.00","5,557,756.00"
Joel Embiid,"4,427,640.00","5,504,497.00"
Luc Mbah a Moute,"4,382,576.00","5,448,473.00"
Raymond Felton,"4,360,000.00","5,420,406.00"
Kris Humphries,"4,250,000.00","5,283,653.00"
Jared Dudley,"4,250,000.00","5,283,653.00"
CJ Miles,"4,205,000.00","5,227,708.00"
Bismack Biyombo,"4,086,453.00","5,080,329.00"
Dion Waiters,"4,062,000.00","5,049,929.00"
Cody Zeller,"4,030,560.00","5,010,842.00"
Danny Green,"4,025,000.00","5,003,930.00"
Mario Chalmers,"4,000,000.00","4,972,850.00"
Ian Mahinmi,"4,000,000.00","4,972,850.00"
Thabo Sefolosha,"4,000,000.00","4,972,850.00"
Aaron Gordon,"3,992,040.00","4,962,954.00"
Vince Carter,"3,911,981.00","4,863,423.00"
Kevin Seraphin,"3,898,691.00","4,846,901.00"
Devin Harris,"3,878,896.00","4,822,292.00"
Joel Anthony,"3,800,000.00","4,724,207.00"
Maurice Williams,"3,750,000.00","4,662,046.00"
Jonas Valanciunas,"3,678,360.00","4,572,983.00"
Thomas Robinson,"3,678,360.00","4,572,982.00"
Marreese Speights,"3,657,500.00","4,547,049.00"
Alex Len,"3,649,920.00","4,537,626.00"
Dante Exum,"3,615,000.00","4,494,213.00"
Brandon Knight,"3,553,917.00","4,418,274.00"
Patrick Mills,"3,500,000.00","4,351,243.00"
Gerald Green,"3,500,000.00","4,351,243.00"
Darrell Arthur,"3,457,149.00","4,297,970.00"
Kemba Walker,"3,452,183.00","4,291,797.00"
Steve Novak,"3,445,947.00","4,284,044.00"
Matt Barnes,"3,396,250.00","4,222,260.00"
Mirza Teletovic,"3,368,100.00","4,187,264.00"
Damian Lillard,"3,340,920.00","4,153,473.00"
Mike Scott,"3,333,333.00","4,144,041.00"
Tyler Hansbrough,"3,326,235.00","4,135,216.00"
Andrei Kirilenko,"3,326,235.00","4,135,216.00"
Nerlens Noel,"3,315,120.00","4,121,398.00"
Marcus Smart,"3,283,320.00","4,081,864.00"
