PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
1628392,2018-19,00,1610612745,HOU,21.0,28,0,221.0,20,41,0.488,2,6,0.333,11,14,0.786,21,26,47,15,7,12,13,56,53
1628392,2019-20,00,1610612745,HOU,22.0,23,2,266.0,44,67,0.657,0,5,0.0,19,28,0.679,29,61,90,18,9,12,16,41,107
1628392,2020-21,00,1610612743,DEN,23.0,30,0,272.0,41,80,0.513,0,0,0.0,22,36,0.611,40,45,85,15,11,20,21,59,104
1628392,2020-21,00,1610612739,CLE,23.0,16,2,287.0,53,91,0.582,2,6,0.333,24,35,0.686,25,71,96,40,8,19,23,45,132
1628392,2020-21,00,0,TOT,23.0,46,2,559.0,94,171,0.55,2,6,0.333,46,71,0.648,65,116,181,55,19,39,44,104,236
1628392,2021-22,00,1610612746,LAC,24.0,68,0,1216.0,229,366,0.626,14,30,0.467,91,132,0.689,117,215,332,160,50,77,84,167,563
1628392,2022-23,00,1610612752,NYK,25.0,82,8,1628.0,175,327,0.535,8,37,0.216,48,71,0.676,209,327,536,102,53,64,66,213,406
