PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
203920,2017-18,00,1610612753,ORL,25.0,42,0,578.0,68,126,0.54,0,0,0.0,42,61,0.689,70,110,180,34,15,21,21,56,178
203920,2018-19,00,1610612753,ORL,26.0,50,1,643.0,91,151,0.603,0,1,0.0,58,83,0.699,79,111,190,38,18,29,20,72,240
203920,2019-20,00,1610612753,ORL,27.0,48,24,922.0,73,143,0.51,0,1,0.0,66,101,0.653,91,129,220,50,20,23,31,91,212
203920,2020-21,00,1610612753,ORL,28.0,48,5,952.0,94,209,0.45,4,21,0.19,63,85,0.741,117,126,243,53,32,28,23,67,255
203920,2020-21,00,1610612761,TOR,28.0,19,17,577.0,95,171,0.556,9,31,0.29,28,44,0.636,57,87,144,36,16,22,21,46,227
203920,2020-21,00,0,TOT,28.0,67,22,1529.0,189,380,0.497,13,52,0.25,91,129,0.705,174,213,387,89,48,50,44,113,482
203920,2021-22,00,1610612761,TOR,29.0,55,28,991.0,97,200,0.485,0,14,0.0,53,71,0.746,122,117,239,56,30,26,29,104,247
203920,2022-23,00,1610612761,TOR,30.0,20,0,162.0,19,32,0.594,1,2,0.5,4,5,0.8,8,17,25,7,5,5,8,24,43
